action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,512341,[],CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,,,BAO_0000190,BAO_0000357,single protein format,CC(CC(=O)NCC(=O)c1ccc2ccccc2c1)n1c2c(c(=O)[nH]c1=O)CCCC2,,,CHEMBL1134951,Bioorg Med Chem Lett,2002,,CHEMBL110347,,CHEMBL110347,,0,http://www.openphacts.org/units/Nanomolar,203683,>,1,1,>,,IC50,nM,,5000.0,CHEMBL3105,Homo sapiens,Poly [ADP-ribose] polymerase-1,9606,,,IC50,nM,UO_0000065,,5000.0
,,513674,[],CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,,,BAO_0000190,BAO_0000357,single protein format,Nc1cccc(-c2ccc(C(=O)CNC(=O)CCn3c4c(c(=O)[nH]c3=O)CSCC4)cc2)c1,,,CHEMBL1134951,Bioorg Med Chem Lett,2002,"{'bei': '16.57', 'le': '0.32', 'lle': '5.74', 'sei': '6.06'}",CHEMBL108702,,CHEMBL108702,7.70,0,http://www.openphacts.org/units/Nanomolar,203704,=,1,1,=,,IC50,nM,,20.0,CHEMBL3105,Homo sapiens,Poly [ADP-ribose] polymerase-1,9606,,,IC50,nM,UO_0000065,,20.0
,,514949,[],CHEMBL761608,Concentration required to inhibit human recombinant Poly (ADP-ribose) polymerase 1 was determined using dose-response inhibition,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(CCn1c2c(c(=O)[nH]c1=O)CCC2)NCC(=O)N1CCN(c2ncccn2)CC1,,,CHEMBL1134951,Bioorg Med Chem Lett,2002,"{'bei': '12.92', 'le': '0.24', 'lle': '6.85', 'sei': '4.14'}",CHEMBL418816,,CHEMBL418816,5.52,0,http://www.openphacts.org/units/Nanomolar,203720,=,1,1,=,,IC50,nM,,3000.0,CHEMBL3105,Homo sapiens,Poly [ADP-ribose] polymerase-1,9606,,,IC50,nM,UO_0000065,,3000.0
,,514986,[],CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1ccc(OC(=O)c2ccccc2)cc1,,,CHEMBL1134951,Bioorg Med Chem Lett,2002,"{'bei': '15.24', 'le': '0.29', 'lle': '5.59', 'sei': '5.91'}",CHEMBL108968,,CHEMBL108968,7.52,0,http://www.openphacts.org/units/Nanomolar,203710,=,1,1,=,,IC50,nM,,30.0,CHEMBL3105,Homo sapiens,Poly [ADP-ribose] polymerase-1,9606,,,IC50,nM,UO_0000065,,30.0
,,514989,[],CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)N1CCN(c2ccccn2)CC1,,,CHEMBL1134951,Bioorg Med Chem Lett,2002,"{'bei': '16.26', 'le': '0.32', 'lle': '7.88', 'sei': '6.19'}",CHEMBL430707,,CHEMBL430707,7.46,0,http://www.openphacts.org/units/Nanomolar,203701,=,1,1,=,,IC50,nM,,35.0,CHEMBL3105,Homo sapiens,Poly [ADP-ribose] polymerase-1,9606,,,IC50,nM,UO_0000065,,35.0
,,516275,[],CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(-c2ccc(C(=O)CNC(=O)CCn3c4c(c(=O)[nH]c3=O)CSCC4)cc2)cc1,,,CHEMBL1134951,Bioorg Med Chem Lett,2002,"{'bei': '16.31', 'le': '0.31', 'lle': '5.43', 'sei': '7.10'}",CHEMBL321638,,CHEMBL321638,7.82,0,http://www.openphacts.org/units/Nanomolar,203709,=,1,1,=,,IC50,nM,,15.0,CHEMBL3105,Homo sapiens,Poly [ADP-ribose] polymerase-1,9606,,,IC50,nM,UO_0000065,,15.0
,,516278,[],CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)N1CCN(c2ncncn2)CC1,,,CHEMBL1134951,Bioorg Med Chem Lett,2002,"{'bei': '15.85', 'le': '0.31', 'lle': '8.93', 'sei': '4.99'}",CHEMBL108316,,CHEMBL108316,7.30,0,http://www.openphacts.org/units/Nanomolar,203689,=,1,1,=,,IC50,nM,,50.0,CHEMBL3105,Homo sapiens,Poly [ADP-ribose] polymerase-1,9606,,,IC50,nM,UO_0000065,,50.0
,,520126,[],CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1ccc(Br)cc1,,,CHEMBL1134951,Bioorg Med Chem Lett,2002,"{'bei': '17.30', 'le': '0.40', 'lle': '6.34', 'sei': '7.74'}",CHEMBL322133,,CHEMBL322133,7.82,0,http://www.openphacts.org/units/Nanomolar,203679,=,1,1,=,,IC50,nM,,15.0,CHEMBL3105,Homo sapiens,Poly [ADP-ribose] polymerase-1,9606,,,IC50,nM,UO_0000065,,15.0
,,521403,[],CHEMBL761608,Concentration required to inhibit human recombinant Poly (ADP-ribose) polymerase 1 was determined using dose-response inhibition,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)N1CCN(c2ccccc2)CC1,,,CHEMBL1134951,Bioorg Med Chem Lett,2002,"{'bei': '16.44', 'le': '0.32', 'lle': '7.34', 'sei': '7.00'}",CHEMBL326660,,CHEMBL326660,7.52,0,http://www.openphacts.org/units/Nanomolar,203719,=,1,1,=,,IC50,nM,,30.0,CHEMBL3105,Homo sapiens,Poly [ADP-ribose] polymerase-1,9606,,,IC50,nM,UO_0000065,,30.0
,,521475,[],CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(C(=O)CNC(=O)CCn2c3c(c(=O)[nH]c2=O)CCCC3)cc1,,,CHEMBL1134951,Bioorg Med Chem Lett,2002,"{'bei': '16.92', 'le': '0.32', 'lle': '5.71', 'sei': '5.92'}",CHEMBL449084,,CHEMBL449084,6.52,0,http://www.openphacts.org/units/Nanomolar,203717,=,1,1,=,,IC50,nM,,300.0,CHEMBL3105,Homo sapiens,Poly [ADP-ribose] polymerase-1,9606,,,IC50,nM,UO_0000065,,300.0
